,loss,accuracy,precision,recall,val_loss,val_accuracy,val_precision,val_recall,lr
0,0.6531485801764988,0.6495863199234009,0.7706666588783264,0.7399414777755737,0.3287103290359179,0.8547008633613586,0.9823633432388306,0.8155197501182556,0.0010000000474974513
1,0.32938186763178073,0.8694955706596375,0.9535353779792786,0.8632041215896606,0.2864783098300298,0.8942307829856873,0.9866666793823242,0.86676424741745,0.0010000000474974513
2,0.264744753133598,0.8980517983436584,0.9633569717407227,0.8942940831184387,0.20393272892882428,0.9252136945724487,0.9766718745231628,0.9194729328155518,0.0010000000474974513
3,0.21751629984121115,0.9226047396659851,0.9681992530822754,0.9242867827415466,0.2175398119414846,0.9134615659713745,0.9870550036430359,0.8931186199188232,0.0003000000142492354
4,0.20766518643453483,0.9212703704833984,0.9699422121047974,0.9206291437149048,0.2167220343835652,0.9155982732772827,0.9855305552482605,0.8975110054016113,0.0003000000142492354
5,0.20389271303832388,0.9263410568237305,0.9719662070274353,0.9257498383522034,0.20572033726299802,0.9220085740089417,0.9856687784194946,0.9062957763671875,9.000000136438757e-05
6,0.18956339129721256,0.9330130815505981,0.9765834808349609,0.9305047392845154,0.17602995320533713,0.9358974099159241,0.9844478964805603,0.9267935752868652,9.000000136438757e-05
7,0.18674944945461183,0.9348812103271484,0.9741051197052002,0.935625433921814,0.22950302078388632,0.9113247990608215,0.9870129823684692,0.8901903629302979,2.700000004551839e-05
8,0.19101802566097933,0.9319455623626709,0.9765474796295166,0.9290416836738586,0.1810412016386787,0.938034176826477,0.9860031008720398,0.9282577037811279,2.700000004551839e-05
9,0.19488891458110488,0.9298105239868164,0.9724665284156799,0.9301390051841736,0.18869865344216427,0.93482905626297,0.9859374761581421,0.9238653182983398,8.099999831756577e-06
10,0.18403128393179327,0.9359487295150757,0.9770466685295105,0.9341623783111572,0.1972071728358666,0.9316239356994629,0.9858712553977966,0.9194729328155518,8.099999831756577e-06
11,0.18125780181691334,0.9324793219566345,0.9761996269226074,0.9301390051841736,0.18815612569451332,0.93482905626297,0.9859374761581421,0.9238653182983398,2.429999995001708e-06
12,0.1780903046795322,0.9362156391143799,0.9745150208473206,0.9370884895324707,0.1869289633197089,0.936965823173523,0.985981285572052,0.9267935752868652,2.429999995001708e-06
